title,open,rev,budget,ad,rating,scrn,sequel
DEUCE BIGALOW EUROPEAN GIGOLO,8/12/2005,26322156,25851938,23445824,4.3,1161,NoSeq
DEVIL WEARS PRADA,6/30/2006,142073424,39863324,28036106,6.8,798,NoSeq
DEVILS REJECTS,7/22/2005,20029354,8225617,9336370,6.9,1069,NoSeq
DIARY OF A MAD BLACK WOMAN,2/25/2005,59498352,6462985,13397650,4.9,940,NoSeq
DICKIE ROBERTS FORMER CHILD STAR,9/5/2003,28387854,21223470,24786516,5.5,927,NoSeq
DIRTY DANCING HAVANA NIGHTS,2/27/2004,17207278,30376670,9306683,5.6,780,NoSeq
DIRTY PRETTY THINGS,7/18/2003,10127858,12484395,3957678,7.5,87,NoSeq
DODGEBALL A TRUE UNDERDOG STORY,6/18/2004,138914624,24301336,26948844,6.6,857,NoSeq
DOMINO,10/14/2005,11949709,58754408,18246416,5.9,1271,NoSeq
DOOM,10/21/2005,33151982,70505288,17977316,5.2,1510,NoSeq
DOWN WITH LOVE,5/9/2003,25349876,97378280,19895882,6.2,602,NoSeq
DREAMCATCHER,3/21/2003,42091680,84893880,25560920,5.3,1215,NoSeq
DREAMER INSPIRED BY A TRUE STORY,10/21/2005,38485420,37602820,23421976,6.7,1228,NoSeq
DREAMGIRLS,12/15/2006,117728880,79726648,41544768,6.5,938,NoSeq
DUKES OF HAZZARD,8/5/2005,94324592,58754408,35604936,4.7,1473,NoSeq
DUMB AND DUMBERER WHEN HARRY MET LLOYD,6/13/2003,32804576,23720350,15858552,3.3,963,NoSeq
DUPLEX,9/26/2003,12100044,49937580,9909738,5.7,721,NoSeq
EIGHT BELOW,2/17/2006,92952808,45558088,30042142,7.4,1379,NoSeq
ELEKTRA,1/14/2005,28683574,50528788,23267100,4.9,838,NoSeq
ELF,11/7/2003,216477552,41198500,44808100,6.8,1650,NoSeq
ELIZABETHTOWN,10/14/2005,31551616,52878964,28030786,6.4,1019,NoSeq
ELLA ENCHANTED,4/9/2004,27847372,37667072,18673268,6.3,661,NoSeq
EMPLOYEE OF THE MONTH,10/6/2006,32397330,13667426,13221982,5.4,1274,NoSeq
END OF THE SPEAR,1/20/2006,13629841,11389522,5254898,6.7,579,NoSeq
ENVY,4/30/2004,16479131,48602672,15061482,4.6,894,NoSeq
ERAGON,12/15/2006,85455768,113895216,33708772,5.1,985,NoSeq
ETERNAL SUNSHINE OF THE SPOTLESS MIND,3/19/2004,41798664,24301336,21096598,8.5,441,NoSeq
EUROTRIP,2/20/2004,21593422,30376670,17402674,6.5,1267,NoSeq
EXORCISM OF EMILY ROSE,9/9/2005,88216752,22326674,22193656,6.8,1767,NoSeq
EXORCIST THE BEGINNING,8/20/2004,50816508,97205344,20044594,5,950,Seq
FAHRENHEIT 9 11,6/23/2004,144829616,7290401,16317740,7.7,901,NoSeq
FAILURE TO LAUNCH,3/10/2006,101042360,56947608,38569272,5.6,1390,NoSeq
FAMILY STONE,12/16/2005,70579160,21151586,30018214,6.3,863,NoSeq
FANTASTIC FOUR,7/8/2005,181781520,117508816,38640536,5.8,857,NoSeq
FAST AND THE FURIOUS TOKYO DRIFT,6/16/2006,71200928,86560368,22103872,5.5,1097,Seq
FAT ALBERT,12/25/2004,58464548,54678008,31904862,4.1,914,NoSeq
FEVER PITCH,4/8/2005,49437212,35252644,28967686,6.3,868,NoSeq
FIGHTING TEMPTATIONS,9/19/2003,37766224,37453184,26647564,5.2,661,NoSeq
FINAL DESTINATION 2,1/31/2003,58628232,32459426,21221100,6.4,821,Seq
FINAL DESTINATION 3,2/10/2006,61615092,28473804,15790319,6,1350,Seq
FINDING NEMO,5/30/2003,424113568,117353312,74311104,8.2,1335,NoSeq
FINDING NEVERLAND,11/12/2004,62795400,30376670,32645564,7.7,630,NoSeq
FIREWALL,2/10/2006,55525272,56947608,37735764,5.8,1048,NoSeq
FIRST DAUGHTER,9/24/2004,11003549,24301336,8718104,4.7,649,NoSeq
FLAGS OF OUR FATHERS,10/20/2006,38271500,102505696,34423692,7.2,1270,NoSeq
FLICKA,10/20/2006,23918162,17084282,15810138,5.7,706,NoSeq
FLIGHT OF THE PHOENIX,12/17/2004,25527558,54678008,23588942,6,826,NoSeq
FLIGHTPLAN,9/23/2005,105413984,58754408,30299884,6.2,953,NoSeq
FLUSHED AWAY,11/3/2006,73651104,169703872,38817024,7.1,1342,NoSeq
FLYBOYS,9/22/2006,14909601,68337128,12334623,6.5,516,NoSeq
FOG,10/14/2005,34724876,21151586,13015510,3.4,1873,NoSeq
FORGOTTEN,9/24/2004,81571696,51032808,34273876,5.8,1922,NoSeq
FOUR BROTHERS,8/12/2005,87537464,52878964,30758752,6.8,1073,NoSeq
FREAKY FRIDAY,8/6/2003,137615888,24968790,33364918,6.6,1064,NoSeq
FREDDY VS JASON,8/15/2003,103149384,37453184,18865042,5.9,1143,Seq
FREEDOMLAND,2/17/2006,14251579,42938496,24231548,5,1446,NoSeq
FRIDAY NIGHT LIGHTS,10/8/2004,74430040,36452004,34343016,7.2,1357,NoSeq
FRIENDS WITH MONEY,4/7/2006,15226010,7403189,7046811,5.9,219,NoSeq
FUN WITH DICK AND JANE,12/21/2005,129650688,117508816,45576964,5.9,1988,NoSeq
GARDEN STATE,7/28/2004,32542304,3037667,15200607,7.6,257,NoSeq
GARFIELD,6/11/2004,91579088,60753340,25867556,4.8,836,NoSeq
GARFIELD A TAIL OF TWO KITTIES,6/16/2006,32376706,68337128,19839640,4.8,780,NoSeq
GEORGE A ROMEROS LAND OF THE DEAD,6/24/2005,24324420,17626322,31375,6.4,1062,NoSeq
GET RICH OR DIE TRYIN,11/9/2005,36410520,47003524,17135724,4,546,NoSeq
GIRL NEXT DOOR,4/9/2004,17727150,30376670,19911544,6.9,535,NoSeq
GIRL WITH A PEARL EARRING,12/12/2003,14570501,19975032,4318352,7.1,136,NoSeq
GODS AND GENERALS,2/21/2003,16083563,69912608,23243196,6,500,NoSeq
GODSEND,4/30/2004,17472358,30376670,16640098,4.7,663,NoSeq
GOOD BOY,10/10/2003,47025900,22471910,22816228,5,1032,NoSeq
GOOD NIGHT AND GOOD LUCK,10/7/2005,37083436,8225617,34408696,7.5,358,NoSeq
GOOD SHEPHERD,12/22/2006,68283408,96810936,38600796,6.9,1064,NoSeq
GOSPEL,10/7/2005,18540720,4700353,9833137,3.3,554,NoSeq
GOTHIKA,11/21/2003,74525072,49937580,24716974,5.7,713,NoSeq
GREAT RAID,8/12/2005,11947559,94007048,15152057,6.8,434,NoSeq
GREATEST GAME EVER PLAYED,9/30/2005,18022788,29377204,17795768,7.3,746,NoSeq
GRIDIRON GANG,9/15/2006,43773148,34168564,30020272,6.8,2308,NoSeq
GRUDGE,10/22/2004,134094000,12150668,21983720,5.7,2071,NoSeq
GRUDGE 2,10/13/2006,44582960,22779044,14679500,4.6,2316,NoSeq
GUARDIAN,9/29/2006,62655732,91116176,30945900,6.7,1250,NoSeq
